campus_number,baseball,basketball,cheer_drill,cross_country,football,golf,soccer,softball,swim,team_tennis,tennis,track,volley,water_polo,wrestling,archery,bowling,capoiera,disc_golf,flag_football,fun_fit,gymnastics,karate,lacrosse,running,squash,strength,yoga
231,-99,5,3,-99,-99,-99,5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
383,-99,-99,-99,-99,-99,-99,5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,-99,-99,-99
98,1,"2,4",6,"2,4",2,-99,"2,4",3,6,-99,-99,6,4,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,-99,2,-99,-99,3
486,-99,"1,3",3,-99,-99,-99,"1,3",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,-99,-99,-99,-99,-99,-99,3
348,-99,"1,3","3,5",-99,-99,-99,"1,3",-99,-99,-99,-99,-99,5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,-99,-99,3
242,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
247,-99,5,5,-99,5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,-99,-99,-99,-99,-99,-99,-99,-99
470,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
149,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
99,1,"2,4",5,6,2,-99,"2,4",3,6,-99,-99,-99,4,-99,5,-99,-99,-99,-99,3,-99,-99,-99,3,-99,-99,-99,-99
78,-99,"2,4","4,6","2,4",2,-99,"2,4",-99,-99,-99,-99,"2,4",4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
239,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
249,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,-99,-99,-99
113,5,5,5,-99,-99,-99,5,-99,-99,-99,-99,-99,5,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,-99,-99,-99,-99,3
13,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
245,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
220,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
259,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
11,2,"2,4",4,"2,4",2,"2,4","2,4",4,"2,4","2,4",-99,"2,4",4,"2,4","2,4",3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,3
174,-99,5,3,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
479,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
171,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
124,-99,-99,-99,-99,-99,-99,"1,3",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
42,1,"2,4",6,"2,4",2,-99,"2,6",3,"2,4",-99,-99,"2,4",4,-99,-99,-99,-99,-99,3,-99,-99,-99,3,"1,2",-99,-99,-99,-99
207,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
43,-99,"2,4",3,-99,2,-99,"2,4",3,-99,-99,-99,-99,4,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,-99,-99,-99,-99,-99
233,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"1,2,3",-99,-99,-99
254,-99,-99,3,-99,-99,-99,5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
110,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
480,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
194,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
122,-99,1,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,-99,"2,4",3,"2,4","2,4",-99,"1,2",-99,-99,-99,-99,"2,4",4,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99
121,-99,-99,-99,-99,5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,-99,-99,-99,-99,-99,-99,-99,-99
258,-99,-99,5,-99,-99,-99,"1,3,5",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
243,-99,"1,3,5",3,"1,3,5","1,5",-99,-99,-99,-99,-99,-99,"1,3,5",3,-99,-99,-99,-99,-99,-99,"1,3",-99,-99,-99,-99,"1,2",-99,-99,-99
187,-99,5,5,-99,5,-99,5,-99,-99,-99,-99,5,5,-99,-99,-99,-99,-99,-99,3,-99,3,3,-99,-99,-99,-99,3
342,-99,-99,3,-99,-99,-99,"1,3",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
364,-99,-99,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
23,"2,4","2,4",6,"2,4",2,"2,4","2,4","2,4",-99,-99,-99,"2,4",4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
274,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,-99,-99,-99
321,-99,-99,-99,-99,-99,-99,5,-99,-99,-99,-99,-99,5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
163,-99,"1,3",-99,"1,3",1,-99,1,-99,-99,-99,-99,"1,3","1,3",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"1,2",-99,-99,-99
39,5,"2,4",3,"2,4",-99,-99,"2,4",-99,"2,4",-99,"1,3","2,4",4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
111,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
311,1,1,3,-99,1,-99,1,-99,-99,-99,-99,-99,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
324,-99,-99,-99,-99,-99,-99,"1,3",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
